x,y
77.3523705042317,69.1006538317015
71.3868810684653,58.8421561359427
66.081889422494,76.232649803278
77.8045712699532,69.6472487787833
67.5254166757804,66.9952759152511
63.623661667807,63.654656400904
73.6556156020379,80.0887709145899
60.5095745463041,76.7624304670608
66.4837610251561,74.1384359342919
55.4421883911709,58.1194489085465
75.8160747913643,78.2558435047395
62.1055444802914,73.048508852371
44.1411028127186,67.8393324732314
85.8053279493469,62.3705522001546
66.1080487638537,45.7950908411294
78.3982211991678,54.1783582547213
79.5204467116855,64.0341658025864
56.69726834225,57.0197106525301
76.9443711810163,57.7950094110565
60.7904492475791,90.2426426135934
78.9273197419243,66.1344846547581
66.9503886505845,55.7041720411507
57.2349843473057,41.5059138275682
63.8588456290017,43.8072992209345
70.6909357226687,64.3894712765177
55.9204689174658,68.2945118341013
50.5320311326067,69.2939100871445
78.2091827254044,70.0791564439714
57.5869815342593,70.219389158301
58.4992047201376,57.8084699326428
59.9871266835544,71.7078909245902
76.5494003694038,66.2633145792643
54.0609160502208,63.7040419632103
67.4851601665432,51.6987573745428
66.6944795788731,70.2328951546224
75.1970044852351,75.3345010479097
57.2814367891988,76.0096644397709
69.1144630813505,67.9985963641957
66.953503669938,62.312003478728
75.3932507045101,79.0508782982943
58.0464355202275,73.5279035096755
48.5976268514059,84.549751477316
59.91499238502,81.9462319440208
52.9661572776968,68.4880523066386
69.0296754377778,56.8012727625319
66.2945179150847,66.5480773703894
65.5323045115802,60.2858880255371
64.828253294254,78.404363989539
77.7251041703857,59.4219362709555
60.5036628307425,75.2103322837501
73.062170309131,77.5958914117655
68.0239334591897,94.760830393061
67.2028643797967,101.772670745849
64.4661720847944,70.3322915568424
63.2200847625791,64.7702880768338
54.8977421253221,61.2569327812525
61.8291945151577,62.1776256365411
67.7702299121301,77.450508683687
63.9850380188727,47.680655256845
50.7317561691161,64.3364363667206
71.8671283770527,54.2523001739755
65.8182951205526,72.0989963837201
50.8659521123627,51.6263615962816
61.330348039919,43.7563675176352
67.0463858163566,81.4697931444971
73.7460875874967,61.5489715299918
70.1207280193921,61.4592385089782
39.2241925559937,69.7216909201234
68.2223283596977,72.4920686251426
58.0960257188417,77.3468717624201
48.5237304068869,73.5224010667297
74.4222059487947,67.1223891685077
77.8725787362782,59.2736886345665
44.8131284478586,74.049066711159
63.7532874001772,66.7085577105171
74.6244548331014,66.4442812875495
49.6836999495281,83.8672666531056
67.7360670173948,74.0708832153177
69.3201453081565,55.1426954870112
69.937555786455,70.0088411348406
69.5183696784079,64.5823978401313
52.696696734929,73.7802882894175
65.0156887836056,70.2662622414937
54.081766216259,69.3250148059451
67.4023961486819,63.9511857797334
57.1956259640865,57.2021325523383
66.6913872968871,59.9493295111461
71.9994257501094,65.6127302817185
59.4755700198584,76.0195551946526
62.661325323861,67.9289063326723
60.5197267809126,90.7597813010215
43.080450091511,74.2937207859359
60.8171770231274,63.5266677589971
66.1311385605949,57.9179958321038
77.1883431347669,71.5512645682611
83.0909410119056,67.2968870957266
78.5021764435805,52.2427716304082
66.4621036825701,72.7370751291164
68.0039245757507,67.6204853106174
